Name,Old_price,New_price,Discount,Rating
Rotational Solar Powered 4G Simcard PTZ CCTV Wireless Camera,"₦ 250,000","₦ 120,000",52%,5 out of 5
Rotational Solar Powered 4G Simcard PTZ CCTV Wireless Camera,"₦ 200,000","₦ 120,000",40%, 
Zealot S39 High Performance  Super Bass Bluetooth Speaker,"₦ 90,000","₦ 85,000",6%, 
Zealot B570 Digital Led Display BLUETOOTH Headphones,"₦ 28,000","₦ 19,800",29%,5 out of 5
Qasa Rechargeable Fan Replacement Battery 12V 4.5Ah,"₦ 30,000","₦ 15,999",47%,4.8 out of 5
Clip On Earphones Bone Conduction  Sports Bluetooth Headsets,"₦ 10,294","₦ 8,578",17%,3.6 out of 5
Super Bass Bluetooth Home Theater,"₦ 95,000","₦ 79,600",16%,5 out of 5
Wireless Receiver /Transmitter Audio Adapter For All Device,"₦ 9,000","₦ 8,900",1%,4.4 out of 5
Jbl GO 2 Speaker Portable Wireless BT Waterproof Speaker,"₦ 78,998","₦ 39,499",50%,5 out of 5
"Mi+ 43"" Inches FHD TV (MI43FZ08A) - Black + 1 Year Warranty","₦ 308,082","₦ 218,571",29%,3.7 out of 5
Best Mini 1080P Tiny WIFI IP HD Camera Built-in Battery CCTV Wireless,"₦ 28,000","₦ 14,999",46%,4.7 out of 5
360° Object Tracking Holder Shooting Gimbal,"₦ 15,000","₦ 14,550",3%,2.5 out of 5
Portable Universal UK Plug To EU Plug Power Socket Travel,"₦ 4,614","₦ 3,230",30%,4.5 out of 5
3.7V Lithium Battery 18650 1pcs Rechargeable,"₦ 6,000","₦ 3,700",38%,5 out of 5
4X ZOOM PTZ 3MP WiFi Mini IP Camera Wireless Auto Tracking Pan Tilt CCTV Waterproof Night Vision,"₦ 60,000","₦ 25,000",58%,3.6 out of 5
Phones Tablets Bluetooth Headsets Wireless Earphones,"₦ 6,811","₦ 5,676",17%,3.5 out of 5
Ring Light  And Accessories- 10 Inch Ringlight + Stand,"₦ 45,000","₦ 15,999",64%,3.6 out of 5
4K Night Vision HD WIFI Digital Camera Standard+Fill Light,"₦ 157,549","₦ 110,285",30%,3.5 out of 5
8S 4K HD TXD Emotion Camera Video Drone Quadcopters With 1 Extra Battery,"₦ 160,000","₦ 99,990",38%,3.1 out of 5
Soundbar - Bluetooth Speaker - 20W - 3D - Black,"₦ 67,041","₦ 55,800",17%,3.5 out of 5
"Obstacle Avoidance Mini Wifi Pocket Drone 4K HD Dual Camera, 2 Battery -Professional & Beginner Use", ,"₦ 100,000", ,3.5 out of 5
"1.3 Mega Pixel Interpolation Flip Screen  Interchangeable Lens Digital Camera, 2.4 Inch LCD, Full HD 720P Recording, Infrared Lens, EIS","₦ 121,944","₦ 67,747",44%,4.5 out of 5
Bluetooth Home Theater System Promo Sale,"₦ 100,000","₦ 78,000",22%,3.8 out of 5
Zealot Sparkle B570 Bluetooth Headphones,"₦ 28,000","₦ 18,500",34%, 
3.5mm Lapel Clip-on Handsfree Wired Microphone-Black,"₦ 2,855","₦ 1,568",45%,3.7 out of 5
PowMr 6.2KW 120A MPPT Hybrid Solar Inverter 48V 500VOC 230V,"₦ 753,784","₦ 496,825",34%,4.2 out of 5
HDMI And More HDMI TO HDMI Cable -20 METER,"₦ 15,000 - ₦ 19,000","₦ 13,000 - ₦ 17,500",13%,4 out of 5
Sensor Flying Aircraft Toy RC Mini Induction Toy Helicopter, ,"₦ 16,499", , 
Mobile Phones Holder And Tablet Stand - Black,"₦ 5,000","₦ 2,500",50%,3.8 out of 5
Remote Control- Organizer Remote Caddy Remote Holder Stand,"₦ 8,500","₦ 7,999",6%,4.9 out of 5
Ringlight - Tripod Ring Light - Ring Light Content Creation,"₦ 45,000","₦ 15,999",64%,4 out of 5
New Mini Digital Camera Cctv Wireless  Small Camera For Security With Free Keyholder,"₦ 20,600","₦ 13,900",33%,2 out of 5
10 Inches Automatic Led Ringlight With Stand  And Phone/camera  Holder,"₦ 15,000","₦ 13,000",13%, 
EXLGPerfect XBass Bluetooth Home Theater Plus DVD PLAYER,"₦ 75,000","₦ 70,000",7%,5 out of 5
Ring fill light 10 Inch Ring Light Content Creation Video Light + Stand,"₦ 20,999","₦ 15,999",24%,4 out of 5
Koleer Better Sound Quality Portable Bluetooth Loud Speaker -s819,"₦ 48,000","₦ 21,500",55%,5 out of 5
Rechargeable Fan Replacement Battery 6V 4.5Ah (PIN TYPE),"₦ 15,000","₦ 11,500",23%,4 out of 5
WIICES 500VA 12v Inverter With Inbuilt Charger- 500WATT,"₦ 70,000","₦ 40,000",43%,1.5 out of 5
"Professional 4K Ultra HD 64MP Touchscreen Camcorder Video Camera With 2 4500mAH Batteries For YouTube Live Streaming 18X Digital Zoom IR Night Vision Wifi APP Control 4.0 Inch Live Streaming, Comedy Skit, Photography", ,"₦ 400,000", ,4.2 out of 5
Magcubic Transpeed 4K Android 11 Projector Pro HY300 Wifi6 1280*720P,"₦ 285,000","₦ 185,750",35%,5 out of 5
Sony SRS-XB33 Wireless Bluetooth Speaker, ,"₦ 220,000", ,4.9 out of 5
3.1 Powerful DJ-1003 Home Theatre System,"₦ 68,000","₦ 51,500",24%,5 out of 5
S150 4K HD RC WiFi FPV Long Fly Drone WITH EXTRA BATTERY Quadcopters Drone,"₦ 100,000","₦ 94,999",5%, 
Disposable Quick Shoes Cleaning Wet Wipes Shoe Wipes, ,"₦ 4,900", ,4.3 out of 5
Ring Light LED 14 Inches 36cm Ring Light Selfie,"₦ 28,000","₦ 26,999",4%,5 out of 5
